RP_ENTITY_ID,RELEVANCE,ESS,RPNA_DATE_UTC,RPNA_TIME_UTC
0157B1,100,61,1/7/2019,00:04.1
0157B1,100,61,1/7/2019,00:38.2
0157B1,100,61,1/7/2019,35:22.0
0157B1,100,64,1/7/2019,42:00.4
0157B1,100,61,1/10/2019,00:08.6
0157B1,100,61,1/15/2019,00:22.0
0157B1,100,50,1/17/2019,01:00.4
0157B1,100,70,1/31/2019,01:00.5
0157B1,100,70,1/31/2019,01:00.5
0157B1,100,70,1/31/2019,01:00.5
0157B1,100,70,1/31/2019,01:00.5
0157B1,100,70,1/31/2019,01:00.5
0157B1,100,70,1/31/2019,01:00.6
0157B1,100,70,1/31/2019,01:00.6
0157B1,100,61,2/5/2019,30:04.4
0157B1,100,61,2/6/2019,52:02.0
0157B1,100,61,2/7/2019,35:09.9
0157B1,100,61,2/19/2019,30:00.3
0157B1,100,65,2/21/2019,00:00.7
0157B1,100,61,2/27/2019,25:04.4
0157B1,100,61,3/4/2019,00:01.5
0157B1,100,61,3/7/2019,00:00.4
0157B1,100,61,3/19/2019,02:12.1
0157B1,100,91,3/26/2019,00:05.3
0157B1,100,61,3/27/2019,00:00.7
0157B1,100,61,3/27/2019,00:17.0
0157B1,100,61,3/27/2019,00:05.1
0157B1,100,61,4/2/2019,49:00.3
0157B1,100,54,4/2/2019,00:10.8
0157B1,100,61,4/4/2019,00:06.4
0157B1,100,61,4/8/2019,00:01.4
0157B1,100,61,4/8/2019,27:13.5
0157B1,100,64,4/9/2019,00:02.0
0157B1,100,50,4/11/2019,01:00.4
0157B1,100,54,4/16/2019,35:22.6
0157B1,100,54,4/16/2019,50:08.7
0157B1,100,61,4/23/2019,00:01.7
0157B1,100,61,4/23/2019,00:00.5
0157B1,100,67,4/25/2019,01:01.0
0157B1,100,67,4/25/2019,01:01.0
0157B1,100,67,4/25/2019,01:01.0
0157B1,100,67,4/25/2019,01:01.0
0157B1,100,67,4/25/2019,01:01.0
0157B1,100,67,4/25/2019,01:01.1
0157B1,100,61,5/8/2019,00:00.6
0157B1,100,61,5/10/2019,22:00.4
0157B1,100,61,5/14/2019,00:04.8
0157B1,100,61,5/21/2019,00:44.4
0157B1,100,61,5/21/2019,31:05.9
0157B1,100,61,5/21/2019,00:15.1
0157B1,100,64,5/21/2019,30:05.7
0157B1,100,61,5/28/2019,14:00.4
0157B1,100,64,5/29/2019,00:04.8
0157B1,100,64,5/29/2019,01:31.3
0157B1,100,61,5/30/2019,32:02.0
0157B1,100,61,5/30/2019,51:00.5
0157B1,100,64,6/3/2019,01:03.1
0157B1,100,64,6/3/2019,01:03.1
0157B1,100,61,6/12/2019,00:17.6
0157B1,100,61,6/25/2019,45:03.8
0157B1,100,61,6/25/2019,00:05.6
0157B1,100,61,6/25/2019,00:00.4
0157B1,100,61,6/25/2019,00:00.4
0157B1,100,61,6/26/2019,19:33.9
0157B1,100,40,7/10/2019,37:00.4
0157B1,100,64,7/11/2019,00:04.7
0157B1,100,50,7/11/2019,01:00.8
0157B1,100,69,7/15/2019,15:04.7
0157B1,100,54,7/24/2019,00:10.7
0157B1,100,61,7/24/2019,00:09.4
0157B1,100,70,7/25/2019,01:22.8
0157B1,100,70,7/25/2019,01:22.8
0157B1,100,70,7/25/2019,01:22.8
0157B1,100,70,7/25/2019,01:22.8
0157B1,100,70,7/25/2019,01:22.8
0157B1,100,70,7/25/2019,01:22.8
0157B1,100,26,8/7/2019,11:45.1
0157B1,100,57,8/13/2019,45:06.5
0157B1,100,61,8/13/2019,05:02.8
0157B1,100,61,8/13/2019,05:17.9
0157B1,100,44,8/14/2019,38:56.7
0157B1,100,61,8/20/2019,00:00.4
0157B1,100,64,8/22/2019,01:00.3
0157B1,100,61,8/22/2019,52:03.5
0157B1,100,69,8/23/2019,00:05.3
0157B1,100,69,8/29/2019,14:00.4
0157B1,100,57,9/3/2019,24:36.8
0157B1,100,64,9/4/2019,32:32.6
0157B1,100,61,9/10/2019,05:03.4
0157B1,100,61,9/14/2019,30:52.7
0157B1,100,61,9/17/2019,00:46.0
0157B1,100,57,9/23/2019,00:01.1
0157B1,100,64,9/25/2019,28:00.4
0157B1,100,64,9/25/2019,28:00.4
0157B1,100,64,9/25/2019,29:00.5
0157B1,100,64,9/25/2019,26:33.7
0157B1,100,22,9/26/2019,17:02.0
0157B1,100,64,10/7/2019,04:00.5
0157B1,100,64,10/7/2019,04:00.5
0157B1,100,61,10/8/2019,00:08.7
0157B1,100,65,10/10/2019,30:00.4
0157B1,100,50,10/10/2019,01:00.5
0157B1,100,57,10/11/2019,00:01.3
0157B1,100,61,10/16/2019,05:05.1
0157B1,100,61,10/18/2019,15:03.5
0157B1,100,61,10/23/2019,06:00.5
0157B1,100,22,10/23/2019,48:00.4
0157B1,100,71,10/24/2019,01:01.3
0157B1,100,71,10/24/2019,01:01.3
0157B1,100,71,10/24/2019,01:01.3
0157B1,100,71,10/24/2019,01:01.3
0157B1,100,71,10/24/2019,01:01.3
0157B1,100,71,10/24/2019,01:01.3
0157B1,100,71,10/24/2019,01:01.3
0157B1,100,61,10/29/2019,00:39.7
0157B1,100,61,10/29/2019,17:00.3
0157B1,100,65,10/31/2019,23:00.4
0157B1,100,64,11/5/2019,12:57.0
0157B1,100,64,11/5/2019,15:28.1
0157B1,100,64,11/6/2019,00:03.5
0157B1,100,61,11/12/2019,00:31.9
0157B1,100,69,11/14/2019,00:24.8
0157B1,100,57,11/14/2019,26:00.4
0157B1,100,61,11/19/2019,03:03.0
0157B1,100,61,11/20/2019,00:01.1
0157B1,100,61,11/21/2019,59:58.4
0157B1,100,61,11/21/2019,24:15.9
0157B1,100,61,11/21/2019,26:52.9
0157B1,100,61,11/25/2019,00:09.2
0157B1,100,61,12/2/2019,00:09.5
0157B1,100,64,12/2/2019,44:00.3
0157B1,100,64,12/2/2019,44:00.3
0157B1,100,61,12/3/2019,00:00.3
0157B1,100,64,12/3/2019,16:00.6
0157B1,100,64,12/3/2019,16:00.6
0157B1,100,61,12/3/2019,18:00.4
0157B1,100,61,12/3/2019,00:00.6
0157B1,100,69,12/3/2019,48:00.4
0157B1,100,61,12/4/2019,00:04.5
0157B1,100,61,12/4/2019,00:05.7
0157B1,100,61,12/4/2019,31:00.4
0157B1,100,61,12/5/2019,00:00.9
0157B1,100,61,12/5/2019,00:56.2
0157B1,100,61,12/5/2019,30:00.5
0157B1,100,61,12/6/2019,00:04.0
0157B1,100,61,12/10/2019,00:06.3
0157B1,100,61,12/16/2019,00:07.8
0157B1,100,61,12/16/2019,00:07.8
0157B1,100,54,12/17/2019,00:04.4
0157B1,100,65,12/19/2019,00:02.9
0157B1,100,64,12/23/2019,00:05.8
12E454,100,50,1/2/2019,05:02.5
12E454,100,69,1/23/2019,00:32.4
12E454,100,69,1/24/2019,00:18.8
12E454,100,50,1/30/2019,05:07.9
12E454,100,61,2/20/2019,00:13.0
12E454,100,61,2/25/2019,00:06.0
12E454,100,22,3/5/2019,00:13.9
12E454,100,54,3/12/2019,00:09.5
12E454,100,50,4/1/2019,05:01.5
12E454,100,54,4/12/2019,05:02.1
12E454,100,50,4/24/2019,05:06.0
12E454,100,50,4/24/2019,05:06.1
12E454,100,64,5/2/2019,43:02.5
12E454,100,61,5/30/2019,00:06.7
12E454,100,64,6/10/2019,00:03.1
12E454,100,61,6/12/2019,37:57.4
12E454,100,64,6/18/2019,42:00.3
12E454,100,50,7/1/2019,05:02.8
12E454,100,25,7/2/2019,42:01.9
12E454,100,59,7/2/2019,54:54.9
12E454,100,22,7/9/2019,00:28.3
12E454,100,50,7/24/2019,05:06.5
12E454,100,50,7/24/2019,05:06.5
12E454,100,50,7/24/2019,05:06.5
12E454,100,61,8/13/2019,15:00.3
12E454,100,64,9/4/2019,15:03.7
12E454,100,61,9/13/2019,00:03.2
12E454,100,50,10/1/2019,05:03.4
12E454,100,50,10/30/2019,05:03.8
12E454,100,50,10/30/2019,05:03.8
12E454,100,44,10/30/2019,05:04.5
12E454,100,61,11/7/2019,10:02.0
12E454,100,61,11/12/2019,30:01.4
12E454,100,69,12/4/2019,00:00.7
12E454,100,61,12/17/2019,39:07.2
12E454,100,61,12/17/2019,39:08.0
12E454,100,61,12/17/2019,10:50.8
4.80E+288,100,50,2/28/2019,00:04.6
4.80E+288,100,50,3/14/2019,00:02.3
4.80E+288,100,50,3/14/2019,00:02.4
4.80E+288,100,50,5/15/2019,01:17.5
4A6F00,100,69,1/3/2019,30:00.5
4A6F00,100,55,1/3/2019,30:00.4
4A6F00,100,61,1/4/2019,42:08.3
4A6F00,100,61,1/8/2019,10:55.9
4A6F00,100,61,1/9/2019,00:13.8
4A6F00,100,61,1/9/2019,00:52.7
4A6F00,100,61,1/9/2019,00:00.5
4A6F00,100,61,1/15/2019,05:03.7
4A6F00,100,61,1/24/2019,00:03.3
4A6F00,100,61,1/24/2019,00:03.6
4A6F00,100,61,1/29/2019,32:30.2
4A6F00,100,61,2/5/2019,00:05.1
4A6F00,100,61,2/5/2019,00:07.8
4A6F00,100,61,2/11/2019,00:08.8
4A6F00,100,61,2/11/2019,00:18.9
4A6F00,100,61,2/23/2019,39:51.0
4A6F00,100,61,2/28/2019,00:05.7
4A6F00,100,61,2/28/2019,00:55.6
4A6F00,100,61,3/5/2019,00:21.9
4A6F00,100,61,3/7/2019,00:05.1
4A6F00,100,61,3/12/2019,30:00.4
4A6F00,100,61,3/13/2019,05:20.1
4A6F00,100,61,3/26/2019,30:05.8
4A6F00,100,61,3/27/2019,45:00.3
4A6F00,100,61,4/3/2019,00:06.7
4A6F00,100,61,4/4/2019,00:11.4
4A6F00,100,61,4/8/2019,22:48.0
4A6F00,100,82,4/8/2019,18:00.3
4A6F00,100,61,4/9/2019,00:26.0
4A6F00,100,61,4/9/2019,00:01.7
4A6F00,100,61,4/9/2019,00:01.4
4A6F00,100,61,4/9/2019,00:04.4
4A6F00,100,61,4/9/2019,00:07.5
4A6F00,100,61,4/9/2019,30:00.5
4A6F00,100,61,4/9/2019,30:03.9
4A6F00,100,61,4/9/2019,30:04.1
4A6F00,100,61,4/9/2019,30:05.2
4A6F00,100,58,4/10/2019,40:02.1
4A6F00,100,61,4/10/2019,00:07.1
4A6F00,100,61,4/10/2019,52:01.1
4A6F00,100,61,4/10/2019,59:00.3
4A6F00,100,61,4/10/2019,00:01.6
4A6F00,100,61,4/10/2019,00:02.0
4A6F00,100,61,4/10/2019,01:02.8
4A6F00,100,64,4/10/2019,50:01.0
4A6F00,100,61,4/11/2019,00:13.9
4A6F00,100,61,4/16/2019,00:05.7
4A6F00,100,54,4/17/2019,30:02.9
4A6F00,100,64,4/18/2019,00:01.9
4A6F00,100,61,4/23/2019,40:45.1
4A6F00,100,61,4/30/2019,00:17.5
4A6F00,100,64,5/6/2019,00:00.8
4A6F00,100,61,5/6/2019,57:02.6
4A6F00,100,61,5/6/2019,57:28.6
4A6F00,100,61,5/7/2019,10:04.0
4A6F00,100,61,5/7/2019,00:04.0
4A6F00,100,64,5/7/2019,15:30.6
4A6F00,100,64,5/8/2019,21:00.5
4A6F00,100,57,5/8/2019,41:21.6
4A6F00,100,64,5/10/2019,55:39.6
4A6F00,100,54,5/10/2019,08:44.3
4A6F00,100,54,5/15/2019,00:17.5
4A6F00,100,64,5/16/2019,00:01.2
4A6F00,100,61,5/21/2019,00:04.4
4A6F00,100,61,5/21/2019,00:04.4
4A6F00,100,57,5/21/2019,46:29.1
4A6F00,100,57,5/28/2019,05:02.5
4A6F00,100,69,5/30/2019,00:01.0
4A6F00,100,61,6/4/2019,00:23.1
4A6F00,100,61,6/6/2019,00:00.5
4A6F00,100,81,6/7/2019,05:14.2
4A6F00,100,57,6/11/2019,45:02.9
4A6F00,100,61,6/12/2019,30:00.7
4A6F00,100,57,6/20/2019,00:15.4
4A6F00,100,61,6/24/2019,11:26.7
4A6F00,100,61,6/25/2019,00:04.4
4A6F00,100,61,6/26/2019,00:01.7
4A6F00,100,61,7/1/2019,34:51.0
4A6F00,100,69,7/1/2019,00:11.8
4A6F00,100,61,7/3/2019,00:04.4
4A6F00,100,61,7/3/2019,00:05.7
4A6F00,100,61,7/9/2019,00:21.1
4A6F00,100,61,7/9/2019,00:21.3
4A6F00,100,61,7/9/2019,18:00.3
4A6F00,100,48,7/10/2019,04:00.4
4A6F00,100,61,7/15/2019,33:00.4
4A6F00,100,22,7/15/2019,33:00.3
4A6F00,100,61,7/17/2019,00:04.7
4A6F00,100,61,7/22/2019,00:03.2
4A6F00,100,61,7/22/2019,00:08.9
4A6F00,100,61,7/22/2019,00:03.6
4A6F00,100,64,7/23/2019,00:05.2
4A6F00,100,48,7/24/2019,58:00.5
4A6F00,100,26,7/24/2019,40:20.6
4A6F00,100,61,7/26/2019,00:09.4
4A6F00,100,61,7/30/2019,00:38.2
4A6F00,100,61,8/7/2019,00:00.5
4A6F00,100,61,8/14/2019,30:00.6
4A6F00,100,22,8/14/2019,33:40.5
4A6F00,100,61,8/20/2019,00:03.1
4A6F00,100,61,8/21/2019,00:45.8
4A6F00,100,61,8/21/2019,58:44.4
4A6F00,100,61,8/21/2019,03:56.8
4A6F00,100,61,8/21/2019,45:04.6
4A6F00,100,61,8/21/2019,45:07.5
4A6F00,100,61,8/21/2019,45:35.4
4A6F00,100,61,8/26/2019,21:05.4
4A6F00,100,61,8/27/2019,00:20.7
4A6F00,100,61,8/27/2019,00:00.5
4A6F00,100,61,8/27/2019,12:15.4
4A6F00,100,61,8/28/2019,00:05.2
4A6F00,100,61,8/29/2019,02:00.6
4A6F00,100,61,9/9/2019,00:07.0
4A6F00,100,61,9/9/2019,10:02.8
4A6F00,100,61,9/17/2019,00:06.9
4A6F00,100,61,9/17/2019,01:13.5
4A6F00,100,61,9/18/2019,00:03.8
4A6F00,100,81,9/19/2019,00:03.1
4A6F00,100,61,9/19/2019,35:02.1
4A6F00,100,61,9/26/2019,38:58.6
4A6F00,100,69,10/1/2019,29:10.4
4A6F00,100,61,10/2/2019,30:00.4
4A6F00,100,61,10/8/2019,30:06.3
4A6F00,100,61,10/16/2019,30:14.9
4A6F00,100,61,10/16/2019,31:07.4
4A6F00,100,69,10/17/2019,30:02.3
4A6F00,100,61,10/24/2019,00:26.1
4A6F00,100,49,11/1/2019,00:02.2
4A6F00,100,61,11/6/2019,45:00.4
4A6F00,100,61,11/6/2019,00:00.5
4A6F00,100,61,11/11/2019,08:00.4
4A6F00,100,61,11/11/2019,13:15.1
4A6F00,100,64,11/14/2019,00:02.1
4A6F00,100,61,11/18/2019,00:03.1
4A6F00,100,61,11/20/2019,00:27.0
4A6F00,100,61,11/20/2019,00:00.6
4A6F00,100,64,11/20/2019,00:06.6
4A6F00,100,69,11/20/2019,04:01.9
4A6F00,100,61,11/21/2019,17:34.7
4A6F00,100,43,11/26/2019,20:47.0
4A6F00,100,69,12/1/2019,50:03.5
4A6F00,100,64,12/10/2019,46:13.4
4A6F00,100,64,12/10/2019,50:13.4
4A6F00,100,64,12/16/2019,00:04.4
4A6F00,100,61,12/16/2019,00:05.7
4A6F00,100,61,12/16/2019,00:02.8
4A6F00,100,61,12/16/2019,00:02.9
4A6F00,100,61,12/16/2019,00:06.0
4A6F00,100,61,12/16/2019,01:01.9
4A6F00,100,22,12/17/2019,00:00.6
4A6F00,100,76,12/18/2019,19:24.3
4A6F00,100,61,12/19/2019,39:10.0
4A6F00,100,61,12/24/2019,22:12.5
D8442A,100,22,1/3/2019,08:47.1
D8442A,100,22,1/3/2019,00:06.7
D8442A,100,22,1/3/2019,32:20.4
D8442A,100,50,1/29/2019,30:00.7
D8442A,100,50,1/29/2019,30:00.7
D8442A,100,50,1/29/2019,30:00.7
D8442A,100,54,2/5/2019,30:00.4
D8442A,100,22,3/15/2019,21:53.0
D8442A,100,61,3/19/2019,00:00.3
D8442A,100,64,3/25/2019,51:00.3
D8442A,100,64,3/25/2019,40:00.4
D8442A,100,64,3/25/2019,06:00.3
D8442A,100,22,4/16/2019,11:00.4
D8442A,100,22,4/17/2019,05:00.3
D8442A,100,22,4/18/2019,11:00.3
D8442A,100,22,4/22/2019,30:03.6
D8442A,100,50,4/30/2019,30:01.6
D8442A,100,50,4/30/2019,30:01.6
D8442A,100,50,4/30/2019,30:01.7
D8442A,100,22,5/14/2019,40:02.0
D8442A,100,22,5/14/2019,41:16.0
D8442A,100,22,5/15/2019,00:03.4
D8442A,100,22,5/20/2019,40:05.1
D8442A,100,22,5/24/2019,04:55.1
D8442A,100,22,5/27/2019,05:12.0
D8442A,100,22,6/3/2019,45:19.3
D8442A,100,64,6/3/2019,16:00.4
D8442A,100,64,6/3/2019,16:00.5
D8442A,100,64,6/3/2019,16:00.6
D8442A,100,61,6/4/2019,00:19.7
D8442A,100,22,6/4/2019,35:00.4
D8442A,100,29,6/5/2019,01:04.9
D8442A,100,22,6/10/2019,30:25.8
D8442A,100,22,6/14/2019,15:00.3
D8442A,100,22,6/16/2019,10:02.4
D8442A,100,22,6/17/2019,00:01.8
D8442A,100,29,6/27/2019,50:16.9
D8442A,100,54,6/27/2019,50:00.3
D8442A,100,61,7/3/2019,00:04.4
D8442A,100,61,7/3/2019,00:05.7
D8442A,100,69,7/14/2019,59:00.3
D8442A,100,69,7/15/2019,50:00.6
D8442A,100,48,7/25/2019,00:00.4
D8442A,100,50,7/30/2019,30:01.1
D8442A,100,50,7/30/2019,30:01.1
D8442A,100,64,9/10/2019,29:00.4
D8442A,100,64,9/10/2019,29:00.4
D8442A,100,64,9/10/2019,48:00.4
D8442A,100,64,9/10/2019,37:00.5
D8442A,100,64,9/10/2019,37:00.5
D8442A,100,64,9/11/2019,37:48.7
D8442A,100,53,9/17/2019,54:40.9
D8442A,100,22,9/17/2019,38:00.4
D8442A,100,40,9/23/2019,07:02.6
D8442A,100,40,9/23/2019,15:00.3
D8442A,100,61,10/3/2019,00:28.7
D8442A,100,64,10/7/2019,05:04.1
D8442A,100,64,10/28/2019,00:00.4
D8442A,100,64,10/28/2019,00:00.4
D8442A,100,50,10/30/2019,30:01.6
D8442A,100,50,10/30/2019,30:01.6
D8442A,100,50,10/30/2019,30:01.6
D8442A,100,69,11/2/2019,47:00.5
D8442A,100,69,11/15/2019,38:23.5
D8442A,100,57,11/20/2019,15:00.3
D8442A,100,69,11/28/2019,30:03.5
D8442A,100,50,11/28/2019,26:46.3
D8442A,100,50,11/28/2019,30:00.4
D8442A,100,50,11/29/2019,20:00.5
D8442A,100,69,11/29/2019,40:05.6
D8442A,100,69,12/2/2019,00:00.7
D8442A,100,69,12/10/2019,47:00.3
D8442A,100,22,12/17/2019,00:10.7
ECD263,100,54,1/2/2019,00:05.4
ECD263,100,22,1/11/2019,43:42.0
ECD263,100,50,1/17/2019,00:04.4
ECD263,100,50,3/14/2019,00:14.0
ECD263,100,54,4/3/2019,00:05.7
ECD263,100,50,4/16/2019,00:05.9
ECD263,100,52,4/24/2019,31:02.9
ECD263,100,61,5/12/2019,54:04.1
ECD263,100,50,6/14/2019,30:02.6
ECD263,100,54,7/12/2019,00:02.7
ECD263,100,50,7/17/2019,00:04.5
ECD263,100,22,7/19/2019,39:00.3
ECD263,100,22,7/20/2019,35:00.3
